Navn;Stasjon;Tid(norsk normaltid);Maksimumstemperatur (døgn);Middeltemperatur (døgn);Minimumstemperatur (døgn);Nedbør (døgn);Snødybde
Folgefonna Skisenter;SN49085;30.09.2015;6.3;4.4;3;0;0
Folgefonna Skisenter;SN49085;01.10.2015;5.2;3.5;2.2;1;0
Folgefonna Skisenter;SN49085;02.10.2015;4.2;2.9;2.4;3.5;0
Folgefonna Skisenter;SN49085;03.10.2015;4.5;2.4;-0.6;17.6;0
Folgefonna Skisenter;SN49085;04.10.2015;3.4;2.5;1.7;0.6;0
Folgefonna Skisenter;SN49085;05.10.2015;7.4;5.1;2.4;15.9;0
Folgefonna Skisenter;SN49085;06.10.2015;4.8;2.8;0.9;0;0
Folgefonna Skisenter;SN49085;07.10.2015;4.8;1.8;0.1;2.3;0
Folgefonna Skisenter;SN49085;08.10.2015;5.2;3.2;1.1;10.7;0
Folgefonna Skisenter;SN49085;09.10.2015;4.7;2.9;2.3;7.2;0
Folgefonna Skisenter;SN49085;10.10.2015;5;2.4;0.8;0.2;0
Folgefonna Skisenter;SN49085;11.10.2015;3;1.5;0.6;0;0
Folgefonna Skisenter;SN49085;12.10.2015;2.5;1.1;-0.2;0.1;0
Folgefonna Skisenter;SN49085;13.10.2015;2.9;0.4;-2.1;0.2;0
Folgefonna Skisenter;SN49085;14.10.2015;3.9;1.3;-2.2;0;0
Folgefonna Skisenter;SN49085;15.10.2015;6.7;2.4;0;0;0
Folgefonna Skisenter;SN49085;16.10.2015;8.3;3.8;0.6;0;0
Folgefonna Skisenter;SN49085;17.10.2015;9.8;4.8;2.5;0.1;0
Folgefonna Skisenter;SN49085;18.10.2015;8.9;4.5;2.2;0;0
Folgefonna Skisenter;SN49085;19.10.2015;7.1;3.9;0.7;0;0
Folgefonna Skisenter;SN49085;20.10.2015;5.8;-0.2;-2.7;0;0
Folgefonna Skisenter;SN49085;21.10.2015;4.7;1.9;-0.3;5.7;3
Folgefonna Skisenter;SN49085;22.10.2015;5.7;3.4;1.9;17.8;0
Folgefonna Skisenter;SN49085;23.10.2015;3.1;1.5;0.5;83;0
Folgefonna Skisenter;SN49085;24.10.2015;4.4;2.1;1.1;0.2;0
Folgefonna Skisenter;SN49085;25.10.2015;3.7;-1.6;-2.3;23.4;26
Folgefonna Skisenter;SN49085;26.10.2015;1.3;0.3;-1.9;14.3;48
Folgefonna Skisenter;SN49085;27.10.2015;3.8;2.2;-2.4;3.1;43
Folgefonna Skisenter;SN49085;28.10.2015;8.3;5.4;2.5;0;39
Folgefonna Skisenter;SN49085;29.10.2015;9.4;5.8;2.8;0;38
Folgefonna Skisenter;SN49085;30.10.2015;6.7;4.8;3.1;0;30
Folgefonna Skisenter;SN49085;31.10.2015;9.3;6;3.1;3.4;5
Folgefonna Skisenter;SN49085;01.11.2015;6.9;3;1.8;13;0
Folgefonna Skisenter;SN49085;02.11.2015;7.4;5.2;2.1;0.1;0
Folgefonna Skisenter;SN49085;03.11.2015;7.5;4.6;2.7;0;0
Folgefonna Skisenter;SN49085;04.11.2015;7.4;4.4;1.1;0.1;0
Folgefonna Skisenter;SN49085;05.11.2015;8.8;6;4.4;0;0
Folgefonna Skisenter;SN49085;06.11.2015;6.4;5;3.8;0.1;0
Folgefonna Skisenter;SN49085;07.11.2015;5.8;2.3;-0.3;23.3;0
Folgefonna Skisenter;SN49085;08.11.2015;1.9;0.5;-0.9;3.4;3
Folgefonna Skisenter;SN49085;09.11.2015;1.8;-0.5;-1.8;17.6;5
Folgefonna Skisenter;SN49085;10.11.2015;1.8;0.1;-1;35.8;48
Folgefonna Skisenter;SN49085;11.11.2015;0.5;0;-0.9;15.7;57
Folgefonna Skisenter;SN49085;12.11.2015;0.7;-0.1;-1.1;31.2;74
Folgefonna Skisenter;SN49085;13.11.2015;3;-1.3;-3.8;22.9;82
Folgefonna Skisenter;SN49085;14.11.2015;-0.9;-1.9;-4.1;15.8;127
Folgefonna Skisenter;SN49085;15.11.2015;-0.7;-1.6;-4.3;34.4;163
Folgefonna Skisenter;SN49085;16.11.2015;1.6;-1.3;-4.2;8.3;161
Folgefonna Skisenter;SN49085;17.11.2015;-0.9;-1.6;-3.2;19.4;165
Folgefonna Skisenter;SN49085;18.11.2015;-0.6;-1.1;-1.8;27.8;172
Folgefonna Skisenter;SN49085;19.11.2015;-0.6;-3.4;-6.6;2;169
Folgefonna Skisenter;SN49085;20.11.2015;-2;-6.2;-9;0;166
Folgefonna Skisenter;SN49085;21.11.2015;-4;-9.6;-12.1;0;163
Folgefonna Skisenter;SN49085;22.11.2015;-6.4;-8.3;-11.5;0;161
Folgefonna Skisenter;SN49085;23.11.2015;-2;-4.2;-10.2;0;160
Folgefonna Skisenter;SN49085;24.11.2015;-0.1;-1.8;-2.6;4.7;160
Folgefonna Skisenter;SN49085;25.11.2015;-2.2;-4.1;-5;3.2;163
Folgefonna Skisenter;SN49085;26.11.2015;0.2;-2.8;-6.9;1.7;167
Folgefonna Skisenter;SN49085;27.11.2015;4.3;1.8;0.2;39.9;155
Folgefonna Skisenter;SN49085;28.11.2015;1.1;-4.4;-5.7;36;180
Folgefonna Skisenter;SN49085;29.11.2015;-2.3;-5.1;-6.4;28.6;166
Folgefonna Skisenter;SN49085;30.11.2015;-3.9;-5.1;-5.9;41.2;212
Folgefonna Skisenter;SN49085;01.12.2015;-5;-5.5;-6.8;20.9;234
Folgefonna Skisenter;SN49085;02.12.2015;2.4;0.2;-6.1;12.7;208
Folgefonna Skisenter;SN49085;03.12.2015;0.7;-3.5;-4.5;30.6;196
Folgefonna Skisenter;SN49085;04.12.2015;0.3;-2.3;-4;32.9;193
Folgefonna Skisenter;SN49085;05.12.2015;2.5;0.1;-3.5;34.2;211
Folgefonna Skisenter;SN49085;06.12.2015;-1;-2.4;-3.8;46.9;228
Folgefonna Skisenter;SN49085;07.12.2015;-1.1;-3.4;-8.7;35.8;205
Folgefonna Skisenter;SN49085;08.12.2015;5.6;2.9;-1.6;3.5;198
Folgefonna Skisenter;SN49085;09.12.2015;2.9;-1.6;-3.8;21.3;212
Folgefonna Skisenter;SN49085;10.12.2015;1.5;-2.4;-5;-;228
Folgefonna Skisenter;SN49085;11.12.2015;-3.6;-4.5;-4.8;-;228
Folgefonna Skisenter;SN49085;12.12.2015;-3.9;-5.6;-8.1;71.8;246
Folgefonna Skisenter;SN49085;13.12.2015;-5.1;-7.2;-10;-;243
Folgefonna Skisenter;SN49085;14.12.2015;-4;-5.1;-10.8;-;240
Folgefonna Skisenter;SN49085;15.12.2015;-2.2;-4.2;-7.7;-;241
Folgefonna Skisenter;SN49085;16.12.2015;3.3;-1.2;-7.9;-;239
Folgefonna Skisenter;SN49085;17.12.2015;5.7;3.5;1.6;2.7;232
Folgefonna Skisenter;SN49085;18.12.2015;4.5;1.8;0.9;13.1;216
Folgefonna Skisenter;SN49085;19.12.2015;6.5;4.1;0.8;35;214
Folgefonna Skisenter;SN49085;20.12.2015;5;1.7;-0.2;42.4;204
Folgefonna Skisenter;SN49085;21.12.2015;0.2;-1;-2.1;40.9;223
Folgefonna Skisenter;SN49085;22.12.2015;1;-1.5;-2.9;20.5;240
Folgefonna Skisenter;SN49085;23.12.2015;-0.5;-2.3;-2.7;25;250
Folgefonna Skisenter;SN49085;24.12.2015;1.4;-0.9;-3.3;14.7;255
Folgefonna Skisenter;SN49085;25.12.2015;-0.6;-4.1;-4.8;15.9;267
Folgefonna Skisenter;SN49085;26.12.2015;-4.5;-7.2;-10.9;6.2;268
Folgefonna Skisenter;SN49085;27.12.2015;-3.8;-7.4;-9.6;2.7;-
Folgefonna Skisenter;SN49085;28.12.2015;5.2;0.2;-8.3;7.3;245
Folgefonna Skisenter;SN49085;29.12.2015;5.7;-1.5;-3.2;2;242
Folgefonna Skisenter;SN49085;30.12.2015;2;0.1;-3.2;5.1;242
Folgefonna Skisenter;SN49085;31.12.2015;2;-1.4;-2.7;6.6;241
Folgefonna Skisenter;SN49085;01.01.2016;-1;-3.2;-8.5;7.5;-
Folgefonna Skisenter;SN49085;02.01.2016;-2.1;-6.7;-11.8;5.5;240
Folgefonna Skisenter;SN49085;03.01.2016;-10.7;-;-13;0;-
Folgefonna Skisenter;SN49085;04.01.2016;-10.6;-;-12.8;0;-
Folgefonna Skisenter;SN49085;05.01.2016;-12;-;-12.7;0;-
Folgefonna Skisenter;SN49085;06.01.2016;-11.5;-;-15.3;0;-
Folgefonna Skisenter;SN49085;07.01.2016;-12;-;-13.1;0;-
Folgefonna Skisenter;SN49085;08.01.2016;-12.3;-;-13.3;0;-
Folgefonna Skisenter;SN49085;09.01.2016;-11.9;-;-13.9;0;-
Folgefonna Skisenter;SN49085;10.01.2016;-7.9;-;-12.2;0;-
Folgefonna Skisenter;SN49085;11.01.2016;-6.2;-;-8;0;-
Folgefonna Skisenter;SN49085;12.01.2016;-7.2;-;-11.8;0;-
Folgefonna Skisenter;SN49085;13.01.2016;-6.3;-;-10.5;0.2;-
Folgefonna Skisenter;SN49085;14.01.2016;-5.8;-;-10.2;5.8;-
Folgefonna Skisenter;SN49085;15.01.2016;-5.8;-7.2;-7.8;8;244
Folgefonna Skisenter;SN49085;16.01.2016;-6.4;-11.5;-14.3;4.1;261
Folgefonna Skisenter;SN49085;17.01.2016;-9.1;-10.8;-13.8;0.6;239
Folgefonna Skisenter;SN49085;18.01.2016;-7.6;-9.1;-10.7;0.3;240
Folgefonna Skisenter;SN49085;19.01.2016;-8;-11.3;-14.9;1.9;242
Folgefonna Skisenter;SN49085;20.01.2016;-9.1;-11;-13.5;0;248
Folgefonna Skisenter;SN49085;21.01.2016;-8.7;-10.3;-12.8;0;248
Folgefonna Skisenter;SN49085;22.01.2016;-1.6;-4.2;-11.3;0;248
Folgefonna Skisenter;SN49085;23.01.2016;-1;-1.6;-4.3;4.8;249
Folgefonna Skisenter;SN49085;24.01.2016;2.1;0.3;-1.7;5.8;253
Folgefonna Skisenter;SN49085;25.01.2016;6.4;4.2;1.9;0.6;248
Folgefonna Skisenter;SN49085;26.01.2016;6.6;-2.1;-4.3;17.2;240
Folgefonna Skisenter;SN49085;27.01.2016;1.7;-1.8;-4.3;20.9;241
Folgefonna Skisenter;SN49085;28.01.2016;-2.2;-4.4;-5.9;5.4;256
Folgefonna Skisenter;SN49085;29.01.2016;0.2;-2.4;-4.6;14.9;296
Folgefonna Skisenter;SN49085;30.01.2016;-3.5;-6;-7.6;28.7;314
Folgefonna Skisenter;SN49085;31.01.2016;-4.9;-7.1;-8.6;11;321
Folgefonna Skisenter;SN49085;01.02.2016;-1.1;-4.7;-8.1;2.9;350
Folgefonna Skisenter;SN49085;02.02.2016;-2.3;-3.1;-4.7;19.6;355
Folgefonna Skisenter;SN49085;03.02.2016;-2.6;-6.6;-7.3;6.2;362
Folgefonna Skisenter;SN49085;04.02.2016;-6.6;-7.9;-8.5;1.8;356
Folgefonna Skisenter;SN49085;05.02.2016;-0.3;-3.2;-8.1;0.1;353
Folgefonna Skisenter;SN49085;06.02.2016;-0.2;-3;-5.6;3.3;349
Folgefonna Skisenter;SN49085;07.02.2016;-0.2;-1.9;-5.2;6.2;345
Folgefonna Skisenter;SN49085;08.02.2016;-2.4;-3.1;-4.7;4.7;317
Folgefonna Skisenter;SN49085;09.02.2016;-2.7;-4.1;-4.8;2.9;317
Folgefonna Skisenter;SN49085;10.02.2016;-3.1;-5.2;-7.9;1.2;327
Folgefonna Skisenter;SN49085;11.02.2016;-4.9;-7.4;-9.4;0;324
Folgefonna Skisenter;SN49085;12.02.2016;-8.7;-11.8;-14.8;0.5;321
Folgefonna Skisenter;SN49085;13.02.2016;-9.3;-12.6;-15.4;0.4;321
Folgefonna Skisenter;SN49085;14.02.2016;-9.2;-12.6;-16.4;0;320
Folgefonna Skisenter;SN49085;15.02.2016;-5.6;-11.1;-13.4;0;320
Folgefonna Skisenter;SN49085;16.02.2016;-4.9;-7.4;-14.5;0;319
Folgefonna Skisenter;SN49085;17.02.2016;-3.5;-5;-5.9;1;315
Folgefonna Skisenter;SN49085;18.02.2016;-4.3;-8;-11;1.4;314
Folgefonna Skisenter;SN49085;19.02.2016;-4.4;-5.6;-8;1.2;315
Folgefonna Skisenter;SN49085;20.02.2016;-2.8;-5;-6.5;7.9;322
Folgefonna Skisenter;SN49085;21.02.2016;-4.8;-5.8;-6.6;15.8;346
Folgefonna Skisenter;SN49085;22.02.2016;-4.7;-5.2;-6.6;11.8;360
Folgefonna Skisenter;SN49085;23.02.2016;-4.7;-5.7;-6.5;5;362
Folgefonna Skisenter;SN49085;24.02.2016;-4.6;-7.5;-9.4;1;358
Folgefonna Skisenter;SN49085;25.02.2016;-5.9;-8.6;-11.7;1.2;359
Folgefonna Skisenter;SN49085;26.02.2016;-5.1;-7.9;-12.2;0.2;356
Folgefonna Skisenter;SN49085;27.02.2016;-4.2;-6.3;-8.2;1.1;354
Folgefonna Skisenter;SN49085;28.02.2016;-4.5;-8.5;-12.5;0.6;352
Folgefonna Skisenter;SN49085;29.02.2016;-5;-7.2;-12.7;0;350
Folgefonna Skisenter;SN49085;01.03.2016;-4.3;-6.8;-8.2;0.2;345
Folgefonna Skisenter;SN49085;02.03.2016;-5.2;-6.5;-7.3;14;339
Folgefonna Skisenter;SN49085;03.03.2016;-4.4;-5.9;-8;3.8;303
Folgefonna Skisenter;SN49085;04.03.2016;-3;-5.1;-6.4;0.4;303
Folgefonna Skisenter;SN49085;05.03.2016;-3.9;-6.1;-8.6;2;304
Folgefonna Skisenter;SN49085;06.03.2016;-4.9;-6.5;-7.7;0.9;302
Folgefonna Skisenter;SN49085;07.03.2016;-4;-7.1;-8.8;1.7;302
Folgefonna Skisenter;SN49085;08.03.2016;-5.9;-7.4;-9.4;0.2;301
Folgefonna Skisenter;SN49085;09.03.2016;-2.3;-3.7;-7.3;0.2;301
Folgefonna Skisenter;SN49085;10.03.2016;2.4;-5.1;-8.4;0;301
Folgefonna Skisenter;SN49085;11.03.2016;0.2;-5.8;-9.1;0;301
Folgefonna Skisenter;SN49085;12.03.2016;-0.2;-3.4;-9;0;301
Folgefonna Skisenter;SN49085;13.03.2016;1.7;1.4;-1.8;2.2;300
Folgefonna Skisenter;SN49085;14.03.2016;11.4;6;1.6;0;298
Folgefonna Skisenter;SN49085;15.03.2016;13.4;9.3;5;0;296
Folgefonna Skisenter;SN49085;16.03.2016;12.6;7.5;4.9;0;296
Folgefonna Skisenter;SN49085;17.03.2016;7.9;2.6;0.2;0;295
Folgefonna Skisenter;SN49085;18.03.2016;0.5;-3;-4.7;0;295
Folgefonna Skisenter;SN49085;19.03.2016;-1.8;-3.4;-5.6;0;295
Folgefonna Skisenter;SN49085;20.03.2016;-1.4;-3.1;-4.2;0.7;295
Folgefonna Skisenter;SN49085;21.03.2016;-1;-2.9;-4.6;0.6;296
Folgefonna Skisenter;SN49085;22.03.2016;-1.7;-3.9;-4.7;2;300
Folgefonna Skisenter;SN49085;23.03.2016;1.3;-6.5;-10.8;0.6;299
Folgefonna Skisenter;SN49085;24.03.2016;-1.9;-3.1;-9.1;0.1;299
Folgefonna Skisenter;SN49085;25.03.2016;-1.8;-3.1;-4.3;6.6;307
Folgefonna Skisenter;SN49085;26.03.2016;0.7;-0.7;-4.7;5.9;305
Folgefonna Skisenter;SN49085;27.03.2016;2.6;-1;-2.3;8.4;-
Folgefonna Skisenter;SN49085;28.03.2016;0;-1.2;-2.7;2.6;298
Folgefonna Skisenter;SN49085;29.03.2016;-0.1;-2.9;-3.7;11.3;-
Folgefonna Skisenter;SN49085;30.03.2016;-0.3;-4.8;-10;3.1;300
Folgefonna Skisenter;SN49085;31.03.2016;-4.7;-7.3;-8.8;1.3;304
Folgefonna Skisenter;SN49085;01.04.2016;-3.3;-5.4;-11.1;0.2;303
Folgefonna Skisenter;SN49085;02.04.2016;-0.1;-1.5;-3.6;3.6;297
Folgefonna Skisenter;SN49085;03.04.2016;2.6;0.5;-2.8;5.2;303
Folgefonna Skisenter;SN49085;04.04.2016;6.9;1.9;-0.3;1.6;300
Folgefonna Skisenter;SN49085;05.04.2016;4.3;1.6;1.1;8.4;296
Folgefonna Skisenter;SN49085;06.04.2016;2;-0.6;-1.3;0.5;297
Folgefonna Skisenter;SN49085;07.04.2016;3.6;-1.1;-3.7;3.4;302
Folgefonna Skisenter;SN49085;08.04.2016;0.5;-3.1;-4.6;1.4;300
