Navn;Stasjon;Tid(norsk normaltid);Middel av middelvind fra hovedobs. (døgn)
Folgefonna Skisenter;SN49085;01.10.2015;6.1
Folgefonna Skisenter;SN49085;02.10.2015;6.3
Folgefonna Skisenter;SN49085;03.10.2015;4.1
Folgefonna Skisenter;SN49085;04.10.2015;1.6
Folgefonna Skisenter;SN49085;05.10.2015;8.3
Folgefonna Skisenter;SN49085;06.10.2015;15.3
Folgefonna Skisenter;SN49085;07.10.2015;14.3
Folgefonna Skisenter;SN49085;08.10.2015;10.7
Folgefonna Skisenter;SN49085;09.10.2015;2.2
Folgefonna Skisenter;SN49085;10.10.2015;1
Folgefonna Skisenter;SN49085;11.10.2015;3.3
Folgefonna Skisenter;SN49085;12.10.2015;3.6
Folgefonna Skisenter;SN49085;13.10.2015;1.1
Folgefonna Skisenter;SN49085;14.10.2015;3.1
Folgefonna Skisenter;SN49085;15.10.2015;0.8
Folgefonna Skisenter;SN49085;16.10.2015;1
Folgefonna Skisenter;SN49085;17.10.2015;0.7
Folgefonna Skisenter;SN49085;18.10.2015;1.6
Folgefonna Skisenter;SN49085;19.10.2015;3.6
Folgefonna Skisenter;SN49085;20.10.2015;3.4
Folgefonna Skisenter;SN49085;21.10.2015;6.9
Folgefonna Skisenter;SN49085;22.10.2015;7.6
Folgefonna Skisenter;SN49085;23.10.2015;5
Folgefonna Skisenter;SN49085;24.10.2015;6.1
Folgefonna Skisenter;SN49085;25.10.2015;5.7
Folgefonna Skisenter;SN49085;26.10.2015;4.9
Folgefonna Skisenter;SN49085;27.10.2015;2.6
Folgefonna Skisenter;SN49085;28.10.2015;3.1
Folgefonna Skisenter;SN49085;29.10.2015;6.8
Folgefonna Skisenter;SN49085;30.10.2015;11.1
Folgefonna Skisenter;SN49085;31.10.2015;7.3
Folgefonna Skisenter;SN49085;01.11.2015;6.1
Folgefonna Skisenter;SN49085;02.11.2015;5.1
Folgefonna Skisenter;SN49085;03.11.2015;5.1
Folgefonna Skisenter;SN49085;04.11.2015;3.1
Folgefonna Skisenter;SN49085;05.11.2015;8.6
Folgefonna Skisenter;SN49085;06.11.2015;11.3
Folgefonna Skisenter;SN49085;07.11.2015;4.2
Folgefonna Skisenter;SN49085;08.11.2015;8.1
Folgefonna Skisenter;SN49085;09.11.2015;7.6
Folgefonna Skisenter;SN49085;10.11.2015;6.4
Folgefonna Skisenter;SN49085;11.11.2015;5.8
Folgefonna Skisenter;SN49085;12.11.2015;5.9
Folgefonna Skisenter;SN49085;13.11.2015;6.2
Folgefonna Skisenter;SN49085;14.11.2015;7.3
Folgefonna Skisenter;SN49085;15.11.2015;4.9
Folgefonna Skisenter;SN49085;16.11.2015;12.9
Folgefonna Skisenter;SN49085;17.11.2015;7.2
Folgefonna Skisenter;SN49085;18.11.2015;5.4
Folgefonna Skisenter;SN49085;19.11.2015;4.1
Folgefonna Skisenter;SN49085;20.11.2015;2.5
Folgefonna Skisenter;SN49085;21.11.2015;2.5
Folgefonna Skisenter;SN49085;22.11.2015;2.1
Folgefonna Skisenter;SN49085;23.11.2015;5.4
Folgefonna Skisenter;SN49085;24.11.2015;5.1
Folgefonna Skisenter;SN49085;25.11.2015;3.9
Folgefonna Skisenter;SN49085;26.11.2015;5.7
Folgefonna Skisenter;SN49085;27.11.2015;6
Folgefonna Skisenter;SN49085;28.11.2015;6.7
Folgefonna Skisenter;SN49085;29.11.2015;5.9
Folgefonna Skisenter;SN49085;30.11.2015;7.1
Folgefonna Skisenter;SN49085;01.12.2015;5.8
Folgefonna Skisenter;SN49085;02.12.2015;8.1
Folgefonna Skisenter;SN49085;03.12.2015;6.5
Folgefonna Skisenter;SN49085;04.12.2015;9.1
Folgefonna Skisenter;SN49085;05.12.2015;9.5
Folgefonna Skisenter;SN49085;06.12.2015;9
Folgefonna Skisenter;SN49085;07.12.2015;7
Folgefonna Skisenter;SN49085;08.12.2015;9.1
Folgefonna Skisenter;SN49085;09.12.2015;8
Folgefonna Skisenter;SN49085;10.12.2015;9.4
Folgefonna Skisenter;SN49085;11.12.2015;5.2
Folgefonna Skisenter;SN49085;12.12.2015;2.8
Folgefonna Skisenter;SN49085;13.12.2015;2.3
Folgefonna Skisenter;SN49085;14.12.2015;3.3
Folgefonna Skisenter;SN49085;15.12.2015;2.2
Folgefonna Skisenter;SN49085;16.12.2015;4.5
Folgefonna Skisenter;SN49085;17.12.2015;5.7
Folgefonna Skisenter;SN49085;18.12.2015;6.8
Folgefonna Skisenter;SN49085;19.12.2015;6.1
Folgefonna Skisenter;SN49085;20.12.2015;7.2
Folgefonna Skisenter;SN49085;21.12.2015;7.3
Folgefonna Skisenter;SN49085;22.12.2015;8.2
Folgefonna Skisenter;SN49085;23.12.2015;8.6
Folgefonna Skisenter;SN49085;24.12.2015;10.1
Folgefonna Skisenter;SN49085;25.12.2015;8.1
Folgefonna Skisenter;SN49085;26.12.2015;5.9
Folgefonna Skisenter;SN49085;27.12.2015;12.5
Folgefonna Skisenter;SN49085;28.12.2015;9.6
Folgefonna Skisenter;SN49085;29.12.2015;17.6
Folgefonna Skisenter;SN49085;30.12.2015;20.4
Folgefonna Skisenter;SN49085;31.12.2015;11.3
Folgefonna Skisenter;SN49085;01.01.2016;7.4
Folgefonna Skisenter;SN49085;02.01.2016;18.7
Folgefonna Skisenter;SN49085;14.01.2016;4.6
Folgefonna Skisenter;SN49085;15.01.2016;4.2
Folgefonna Skisenter;SN49085;16.01.2016;4.4
Folgefonna Skisenter;SN49085;17.01.2016;1.5
Folgefonna Skisenter;SN49085;18.01.2016;2.9
Folgefonna Skisenter;SN49085;19.01.2016;1.6
Folgefonna Skisenter;SN49085;20.01.2016;1.6
Folgefonna Skisenter;SN49085;21.01.2016;2.6
Folgefonna Skisenter;SN49085;22.01.2016;11.3
Folgefonna Skisenter;SN49085;23.01.2016;5.7
Folgefonna Skisenter;SN49085;24.01.2016;5.5
Folgefonna Skisenter;SN49085;25.01.2016;7.3
Folgefonna Skisenter;SN49085;26.01.2016;8.3
Folgefonna Skisenter;SN49085;27.01.2016;5.3
Folgefonna Skisenter;SN49085;28.01.2016;7.3
Folgefonna Skisenter;SN49085;29.01.2016;11.5
Folgefonna Skisenter;SN49085;30.01.2016;8.5
Folgefonna Skisenter;SN49085;31.01.2016;7.2
Folgefonna Skisenter;SN49085;01.02.2016;8.3
Folgefonna Skisenter;SN49085;02.02.2016;5.7
Folgefonna Skisenter;SN49085;03.02.2016;4.9
Folgefonna Skisenter;SN49085;04.02.2016;4.3
Folgefonna Skisenter;SN49085;05.02.2016;7
Folgefonna Skisenter;SN49085;06.02.2016;8.9
Folgefonna Skisenter;SN49085;07.02.2016;10.9
Folgefonna Skisenter;SN49085;08.02.2016;9.7
Folgefonna Skisenter;SN49085;09.02.2016;5.1
