,Navn,Stasjon,Tid(norsk normaltid),Nedbør (1 t),Maksimumstemperatur (1 t),Minimumstemperatur (1 t),Middelvind,Høyeste middelvind (1 t)
35000,Bergen - Florida,SN50540,28.12.2024 09:00,1.9,7.9,7.7,4.6,5.5
35001,Bergen - Florida,SN50540,28.12.2024 10:00,2.9,8.4,7.9,4.1,5.1
35002,Bergen - Florida,SN50540,28.12.2024 11:00,3.2,8.5,8.4,3.7,4.2
35003,Bergen - Florida,SN50540,28.12.2024 12:00,2.1,8.4,8.4,4.4,4.4
35004,Bergen - Florida,SN50540,28.12.2024 13:00,-1.5,8.5,8.4,4.3,4.6
35005,Bergen - Florida,SN50540,28.12.2024 14:00,-3.2,8.5,8.4,5.5,5.6
35006,Bergen - Florida,SN50540,28.12.2024 15:00,-2.3,8.4,8.4,5.1,5.2
35007,Bergen - Florida,SN50540,28.12.2024 16:00,-2.9,8.4,8.2,4.7,5.2
35008,Bergen - Florida,SN50540,28.12.2024 17:00,-3.9,8.2,8.2,5.2,5.2
35009,Bergen - Florida,SN50540,28.12.2024 18:00,-2.3,8.3,8.2,3.9,5.5
35010,Bergen - Florida,SN50540,28.12.2024 19:00,-0.6,8.3,7.3,2.3,4.8
35011,Bergen - Florida,SN50540,28.12.2024 20:00,-0.1,7.3,7.1,1.1,2.6
35012,Bergen - Florida,SN50540,28.12.2024 21:00,-0.0,7.1,7.0,2.7,2.8
35013,Bergen - Florida,SN50540,28.12.2024 22:00,-0.0,7.3,7.2,2.5,3.6
35014,Bergen - Florida,SN50540,28.12.2024 23:00,-0.2,7.3,7.2,4.1,5.1
35015,Bergen - Florida,SN50540,29.12.2024 00:00,-0.6,7.5,7.2,3.2,5.5
35016,Bergen - Florida,SN50540,29.12.2024 01:00,-0.9,7.4,6.7,4.2,5.7
35017,Bergen - Florida,SN50540,29.12.2024 02:00,-3.7,6.9,6.4,3.7,4.9
35018,Bergen - Florida,SN50540,29.12.2024 03:00,-0.8,7.4,6.7,4.0,4.1
35019,Bergen - Florida,SN50540,29.12.2024 04:00,-1.2,7.5,7.0,4.8,5.1
35020,Bergen - Florida,SN50540,29.12.2024 05:00,-0.3,7.8,7.2,5.3,6.8
35021,Bergen - Florida,SN50540,29.12.2024 06:00,-1.9,7.6,7.3,3.9,6.7
35022,Bergen - Florida,SN50540,29.12.2024 07:00,-4.6,7.4,7.0,2.1,4.7
35023,Bergen - Florida,SN50540,29.12.2024 08:00,-0.8,7.2,6.4,5.9,8.1
35024,Bergen - Florida,SN50540,29.12.2024 09:00,-0.3,6.8,6.4,4.4,5.8
35025,Bergen - Florida,SN50540,29.12.2024 10:00,-0.0,6.6,6.4,1.2,4.4
35026,Bergen - Florida,SN50540,29.12.2024 11:00,-0.0,7.0,6.4,3.6,3.6
35027,Bergen - Florida,SN50540,29.12.2024 12:00,-0.0,7.0,6.8,1.1,4.8
35028,Bergen - Florida,SN50540,29.12.2024 13:00,-0.0,7.1,6.8,3.1,3.1
35029,Bergen - Florida,SN50540,29.12.2024 14:00,-0.0,7.1,6.9,2.0,4.6
35030,Bergen - Florida,SN50540,29.12.2024 15:00,-0.0,7.1,6.9,2.6,2.6
35031,Bergen - Florida,SN50540,29.12.2024 16:00,-1.7,6.9,5.3,4.0,8.0
35032,Bergen - Florida,SN50540,29.12.2024 17:00,-2.9,5.2,4.3,4.9,6.4
35033,Bergen - Florida,SN50540,29.12.2024 18:00,-1.7,4.3,3.2,6.0,7.0
35034,Bergen - Florida,SN50540,29.12.2024 19:00,-0.4,3.2,2.9,1.7,6.6
35035,Bergen - Florida,SN50540,29.12.2024 20:00,-0.7,3.3,2.9,1.7,1.9
35036,Bergen - Florida,SN50540,29.12.2024 21:00,-0.0,3.1,2.8,2.2,2.7
35037,Bergen - Florida,SN50540,29.12.2024 22:00,-0.0,2.9,2.6,1.4,2.1
35038,Bergen - Florida,SN50540,29.12.2024 23:00,-0.2,2.9,2.6,3.9,3.9
35039,Bergen - Florida,SN50540,30.12.2024 00:00,-0.0,2.7,2.5,1.3,3.9
35040,Bergen - Florida,SN50540,30.12.2024 01:00,-0.0,2.7,2.3,1.9,3.3
35041,Bergen - Florida,SN50540,30.12.2024 02:00,-0.0,2.3,2.2,1.3,2.7
35042,Bergen - Florida,SN50540,30.12.2024 03:00,-0.0,2.3,2.1,1.3,1.4
35043,Bergen - Florida,SN50540,30.12.2024 04:00,-0.0,2.1,1.5,1.3,1.3
35044,Bergen - Florida,SN50540,30.12.2024 05:00,-0.8,1.6,1.2,5.0,6.0
35045,Bergen - Florida,SN50540,30.12.2024 06:00,-0.0,1.5,1.2,0.6,4.5
35046,Bergen - Florida,SN50540,30.12.2024 07:00,-0.1,1.6,0.9,1.4,4.0
35047,Bergen - Florida,SN50540,30.12.2024 08:00,-0.1,1.2,0.4,0.9,3.4
35048,Bergen - Florida,SN50540,30.12.2024 09:00,-0.0,1.1,0.4,1.4,2.4
35049,Bergen - Florida,SN50540,30.12.2024 10:00,-0.0,1.0,0.5,2.1,2.5
35050,Bergen - Florida,SN50540,30.12.2024 11:00,-0.0,0.9,0.6,0.9,2.2
35051,Bergen - Florida,SN50540,30.12.2024 12:00,-0.0,1.0,0.7,2.4,2.7
35052,Bergen - Florida,SN50540,30.12.2024 13:00,-0.0,0.9,0.6,0.9,2.4
35053,Bergen - Florida,SN50540,30.12.2024 14:00,-0.0,0.9,0.7,1.1,1.1
35054,Bergen - Florida,SN50540,30.12.2024 15:00,-0.0,0.8,0.6,0.5,1.1
35055,Bergen - Florida,SN50540,30.12.2024 16:00,-0.0,0.8,0.5,0.7,0.8
35056,Bergen - Florida,SN50540,30.12.2024 17:00,-0.0,0.7,0.4,0.5,1.6
35057,Bergen - Florida,SN50540,30.12.2024 18:00,-0.3,0.8,0.6,0.8,1.0
35058,Bergen - Florida,SN50540,30.12.2024 19:00,-0.9,0.7,0.2,4.4,4.9
35059,Bergen - Florida,SN50540,30.12.2024 20:00,-0.0,0.2,-0.2,3.0,4.3
35060,Bergen - Florida,SN50540,30.12.2024 21:00,-0.0,-0.2,-0.9,0.9,3.1
35061,Bergen - Florida,SN50540,30.12.2024 22:00,-0.3,-0.1,-1.2,3.0,3.7
35062,Bergen - Florida,SN50540,30.12.2024 23:00,-0.1,-0.2,-0.6,2.6,2.8
35063,Bergen - Florida,SN50540,31.12.2024 00:00,-0.2,-0.2,-0.9,0.9,3.9
35064,Bergen - Florida,SN50540,31.12.2024 01:00,-0.1,-0.5,-1.1,2.3,2.3
35065,Bergen - Florida,SN50540,31.12.2024 02:00,-0.1,-0.5,-0.8,1.4,2.3
35066,Bergen - Florida,SN50540,31.12.2024 03:00,-0.0,-0.2,-0.6,1.6,1.8
35067,Bergen - Florida,SN50540,31.12.2024 04:00,-0.0,0.2,-0.3,2.0,3.3
35068,Bergen - Florida,SN50540,31.12.2024 05:00,-0.5,0.2,-1.2,1.7,6.5
35069,Bergen - Florida,SN50540,31.12.2024 06:00,-0.0,-1.1,-1.3,0.4,1.6
35070,Bergen - Florida,SN50540,31.12.2024 07:00,-0.0,-1.0,-1.2,1.7,2.0
35071,Bergen - Florida,SN50540,31.12.2024 08:00,-0.0,-0.8,-1.4,3.6,3.8
35072,Bergen - Florida,SN50540,31.12.2024 09:00,-0.0,-0.8,-1.3,2.4,4.0
35073,Bergen - Florida,SN50540,31.12.2024 10:00,-0.0,-1.0,-1.4,2.1,2.7
35074,Bergen - Florida,SN50540,31.12.2024 11:00,-0.0,-0.6,-1.1,0.7,2.2
35075,Bergen - Florida,SN50540,31.12.2024 12:00,-0.0,-0.3,-0.7,0.8,1.2
