date,Tmax,Tmean,Tmin,Pr,Snowdepth,wind
2015-10-01,5.2,3.5,2.2,1.0,0.0,6.1
2015-10-02,4.2,2.9,2.4,3.5,0.0,6.3
2015-10-03,4.5,2.4,-0.6,17.6,0.0,4.1
2015-10-04,3.4,2.5,1.7,0.6,0.0,1.6
2015-10-05,7.4,5.1,2.4,15.9,0.0,8.3
2015-10-06,4.8,2.8,0.9,0.0,0.0,15.3
2015-10-07,4.8,1.8,0.1,2.3,0.0,14.3
2015-10-08,5.2,3.2,1.1,10.7,0.0,10.7
2015-10-09,4.7,2.9,2.3,7.2,0.0,2.2
2015-10-10,5.0,2.4,0.8,0.2,0.0,1.0
2015-10-11,3.0,1.5,0.6,0.0,0.0,3.3
2015-10-12,2.5,1.1,-0.2,0.1,0.0,3.6
2015-10-13,2.9,0.4,-2.1,0.2,0.0,1.1
2015-10-14,3.9,1.3,-2.2,0.0,0.0,3.1
2015-10-15,6.7,2.4,0.0,0.0,0.0,0.8
2015-10-16,8.3,3.8,0.6,0.0,0.0,1.0
2015-10-17,9.8,4.8,2.5,0.1,0.0,0.7
2015-10-18,8.9,4.5,2.2,0.0,0.0,1.6
2015-10-19,7.1,3.9,0.7,0.0,0.0,3.6
2015-10-20,5.8,-0.2,-2.7,0.0,0.0,3.4
2015-10-21,4.7,1.9,-0.3,5.7,3.0,6.9
2015-10-22,5.7,3.4,1.9,17.8,0.0,7.6
2015-10-23,3.1,1.5,0.5,83.0,0.0,5.0
2015-10-24,4.4,2.1,1.1,0.2,0.0,6.1
2015-10-25,3.7,-1.6,-2.3,23.4,26.0,5.7
2015-10-26,1.3,0.3,-1.9,14.3,48.0,4.9
2015-10-27,3.8,2.2,-2.4,3.1,43.0,2.6
2015-10-28,8.3,5.4,2.5,0.0,39.0,3.1
2015-10-29,9.4,5.8,2.8,0.0,38.0,6.8
2015-10-30,6.7,4.8,3.1,0.0,30.0,11.1
2015-10-31,9.3,6.0,3.1,3.4,5.0,7.3
2015-11-01,6.9,3.0,1.8,13.0,0.0,6.1
2015-11-02,7.4,5.2,2.1,0.1,0.0,5.1
2015-11-03,7.5,4.6,2.7,0.0,0.0,5.1
2015-11-04,7.4,4.4,1.1,0.1,0.0,3.1
2015-11-05,8.8,6.0,4.4,0.0,0.0,8.6
2015-11-06,6.4,5.0,3.8,0.1,0.0,11.3
2015-11-07,5.8,2.3,-0.3,23.3,0.0,4.2
2015-11-08,1.9,0.5,-0.9,3.4,3.0,8.1
2015-11-09,1.8,-0.5,-1.8,17.6,5.0,7.6
2015-11-10,1.8,0.1,-1.0,35.8,48.0,6.4
2015-11-11,0.5,0.0,-0.9,15.7,57.0,5.8
2015-11-12,0.7,-0.1,-1.1,31.2,74.0,5.9
2015-11-13,3.0,-1.3,-3.8,22.9,82.0,6.2
2015-11-14,-0.9,-1.9,-4.1,15.8,127.0,7.3
2015-11-15,-0.7,-1.6,-4.3,34.4,163.0,4.9
2015-11-16,1.6,-1.3,-4.2,8.3,161.0,12.9
2015-11-17,-0.9,-1.6,-3.2,19.4,165.0,7.2
2015-11-18,-0.6,-1.1,-1.8,27.8,172.0,5.4
2015-11-19,-0.6,-3.4,-6.6,2.0,169.0,4.1
2015-11-20,-2.0,-6.2,-9.0,0.0,166.0,2.5
2015-11-21,-4.0,-9.6,-12.1,0.0,163.0,2.5
2015-11-22,-6.4,-8.3,-11.5,0.0,161.0,2.1
2015-11-23,-2.0,-4.2,-10.2,0.0,160.0,5.4
2015-11-24,-0.1,-1.8,-2.6,4.7,160.0,5.1
