,Pr,Tmin,v_max,Consumption_Household,Consumption_Total
2020-12-31 23:00:00,0.0,-0.4,2.4,565464.941,2040973.608
2021-01-01 00:00:00,0.0,-0.6,1.0,561738.679,2039950.8000000005
2021-01-01 01:00:00,0.0,-1.1,1.3,552567.055,1982919.602
2021-01-01 02:00:00,0.0,-1.2,0.8,539974.014,1964304.053
2021-01-01 03:00:00,0.0,-1.5,1.5,530039.983,2005097.37
2021-01-01 04:00:00,0.0,-1.5,1.5,529178.085,2021311.059
2021-01-01 05:00:00,0.0,-1.6,1.6,533607.066,2054858.151
2021-01-01 06:00:00,0.0,-1.5,2.3,540061.116,2084753.534
2021-01-01 07:00:00,0.0,-1.5,2.2,553680.127,2115707.957
2021-01-01 08:00:00,0.0,-1.8,1.7,581770.273,2161189.9790000003
2021-01-01 09:00:00,0.0,-2.1,1.5,618738.576,2192669.706
2021-01-01 10:00:00,0.0,-2.2,1.4,644337.436,2220010.9990000003
2021-01-01 11:00:00,0.0,-2.2,1.1,650350.323,2226591.6750000003
2021-01-01 12:00:00,0.0,-1.1,1.4,649332.304,2219725.72
2021-01-01 13:00:00,0.0,-0.2,1.9,653287.819,2221051.8510000003
2021-01-01 14:00:00,0.0,-0.8,1.3,675396.078,2255153.126
2021-01-01 15:00:00,0.0,-1.3,1.1,709996.543,2299119.001
2021-01-01 16:00:00,0.0,-1.3,0.5,721967.573,2300164.7819999997
2021-01-01 17:00:00,0.0,-1.9,0.8,718725.933,2285831.509
2021-01-01 18:00:00,0.0,-2.1,0.7,708696.856,2264929.573
2021-01-01 19:00:00,0.0,-2.4,1.1,697146.275,2241179.662
2021-01-01 20:00:00,0.0,-2.6,1.1,677779.419,2205400.327
2021-01-01 21:00:00,0.0,-2.7,0.9,657008.62,2166274.125
2021-01-01 22:00:00,0.0,-2.8,0.6,629412.779,2126190.602
2021-01-01 23:00:00,0.0,-2.9,1.0,596767.791,2080768.1399999997
2021-01-02 00:00:00,0.0,-2.9,1.0,567094.698,2045069.537
2021-01-02 01:00:00,0.0,-2.3,1.2,550336.121,2024524.653
2021-01-02 02:00:00,0.0,-2.0,1.4,541317.221,2014185.115
2021-01-02 03:00:00,0.0,-1.7,1.9,538156.371,2008210.589
2021-01-02 04:00:00,0.0,-1.4,1.1,538909.208,2018540.805
2021-01-02 05:00:00,0.0,-1.2,0.8,543481.78,2037964.5130000005
2021-01-02 06:00:00,0.0,-1.0,0.9,556521.851,2068316.191
2021-01-02 07:00:00,0.0,-0.5,2.1,581889.276,2114210.358
2021-01-02 08:00:00,0.0,-0.3,1.5,619300.341,2178379.211
2021-01-02 09:00:00,0.0,-0.2,1.8,653901.356,2217621.101
2021-01-02 10:00:00,0.0,0.3,2.8,673177.636,2237000.234
2021-01-02 11:00:00,0.0,1.0,3.2,677474.141,2235869.9450000003
2021-01-02 12:00:00,0.0,1.7,4.1,675215.588,2235264.4110000003
2021-01-02 13:00:00,0.0,2.6,4.2,676221.83,2230897.386
2021-01-02 14:00:00,0.0,3.2,4.5,690817.238,2255275.296
