epoch,step,train_loss,val_loss
0,23,,44.70500946044922
1,47,,31.063491821289062
2,49,31.012340545654297,
2,71,,28.281526565551758
3,95,,28.484766006469727
4,99,18.021949768066406,
4,119,,30.38555145263672
5,143,,32.3565673828125
6,149,23.17171287536621,
6,167,,32.191162109375
7,191,,33.018310546875
8,199,18.591873168945312,
8,215,,33.587039947509766
9,239,,32.94409942626953
10,249,18.353593826293945,
10,263,,32.16093063354492
11,287,,30.321393966674805
12,299,15.560792922973633,
12,311,,27.94600486755371
13,335,,24.776155471801758
14,349,19.80762481689453,
14,359,,23.852121353149414
15,383,,28.744781494140625
16,399,21.395397186279297,
16,407,,30.34432029724121
17,431,,27.271133422851562
18,449,24.067773818969727,
18,455,,26.099225997924805
19,479,,24.703340530395508
